run,id,definition,defect_gt_%,defect_cov_mm,defect_HD95_mm,defect_n_pred,defect_prec_mm,defect_F1@0.05
lr_fix_only,083,5mm,6.689453125,4.098049829168705,7.183663522021082,492,3.092969396037089,0.9098143236074271
lr_fix_only,083,6mm,3.6946614583333335,3.965128379544491,6.641658831538,266,3.5683604951937893,0.8745950948634891
lr_fix_only,083,implant,4.703776041666666,3.849046900987058,6.3723329960977395,248,3.368115681976842,0.9135338345864662
lr_fix_only,053,5mm,6.8359375,5.7452651866467335,11.604376762604003,332,3.2305825811953333,0.7931034482758621
lr_fix_only,053,6mm,4.248046875,6.481808893856953,12.377535073822893,180,3.832346930048773,0.7360774818401937
lr_fix_only,053,implant,5.501302083333334,6.470144175731097,12.3425594299495,149,3.470295237528621,0.7293233082706767
lr_fix_only,070,5mm,6.461588541666667,2.591688869997979,4.238033344517488,513,2.514142970760595,0.9936628643852978
lr_fix_only,070,6mm,4.78515625,2.456998447891103,3.9724722326565702,347,2.482520987543408,1.0
lr_fix_only,070,implant,6.119791666666666,2.447346964816885,3.915302919802109,390,2.3857772922779716,1.0
lr_fix_only,045,5mm,4.899088541666666,2.708813352792991,4.071837125656093,304,2.586774403494978,0.9966996699669968
lr_fix_only,045,6mm,4.264322916666666,2.681542439225633,4.012494164515696,261,2.6014460415933933,0.9980806142034548
lr_fix_only,045,implant,6.15234375,2.705182507687062,4.07094467165127,340,2.561267538303897,1.0
lr_fix_only,044,5mm,7.649739583333333,3.0855489759262515,4.906758729372618,604,2.899559694305707,0.9881593110871906
lr_fix_only,044,6mm,5.289713541666666,3.043513874964233,4.676088671749736,381,3.0633971639597424,0.9931983298708374
lr_fix_only,044,implant,6.54296875,2.999384978064633,4.511052885474713,408,2.9800961937744344,1.0
lr_fix_only,039,5mm,4.98046875,3.1338819824065784,4.377379163466673,289,3.03010634448574,0.9637535404950536
lr_fix_only,039,6mm,4.475911458333334,3.125212299386199,4.342547238725115,281,3.307551638482143,0.9161459722826775
lr_fix_only,039,implant,6.087239583333334,3.1261412203951764,4.348710933200998,329,3.0567823224617614,0.9664746490531473
lr_fix_only,022,5mm,6.201171875,3.9151094777577655,5.262296109991761,366,3.4051213328705057,0.9350914406925414
lr_fix_only,022,6mm,5.17578125,4.014354943165559,5.272348219413011,305,4.003866419224151,0.843692435314067
lr_fix_only,022,implant,6.73828125,3.9117688973332845,5.1951839768288455,329,3.6678773070629016,0.9437258342520846
lr_fix_only,080,5mm,7.747395833333333,3.3601375512943927,6.6050657477233665,606,2.9167059041305294,0.9538461538461539
lr_fix_only,080,6mm,4.768880208333334,2.887383632800396,4.437905781235719,358,2.953175195634925,0.9886409658071857
lr_fix_only,080,implant,5.891927083333334,2.8180862032588356,4.356941127276874,387,2.8320558614423703,1.0
lr_fix_only,010,5mm,7.861328125,3.064681852281702,4.535693924364156,610,2.876867752317752,0.99375
lr_fix_only,010,6mm,5.517578125,3.0692217784594438,4.525562012545283,373,3.0247763134698245,0.993027543393687
lr_fix_only,010,implant,6.93359375,2.9981214941953755,4.487830571202847,407,2.9122202942272133,0.9988249118683901
lr_fix_only,000,5mm,5.078125,2.4655650905887008,3.7500705327466477,398,2.51668742242222,0.9983948635634029
