run,id,n_dense,dense_spacing_mm,gt_p2s_max_mm,p2s_abs_median_mm,p2s_abs_p95_mm,p2s_bias_mm,p2s_std_mm,p2s_outside_pct,p2s_defect_abs_median_mm,n_pred_defect,s2p_mean_mm,s2p_hd95_mm,s2p_floor_mean_mm,s2p_floor_hd95_mm,s2p_defect_mean_mm,s2p_defect_hd95_mm,s2p_floor_defect_mean_mm,defect_pct_of_surface,dev_abs_median_mm,dev_abs_p95_mm,dev_bias_mm,dev_std_mm,dev_outside_pct
cd_rep05_full,083,200000,1.1214183352180909,6.521611211951495e-06,1.6320245114297276,5.086218241421147,-0.1626679464809893,2.555638236428256,52.70182291666666,2.0564327484396103,302,3.8976390907999794,8.273189804218053,2.4145504083775724,4.0906373112271925,3.713236505892404,6.688377065219071,2.279456502203789,4.2815,1.8064018065192493,6.22790327169648,0.3174180936175093,3.010496884514997,53.173828125
cd_rep05_full,053,200000,1.124866996809809,7.469728443879713e-06,2.721798685903855,11.998760682291232,-3.0915759297200487,4.290736595969008,27.42513020833333,2.163992988007756,140,4.537063902003356,10.024229650500372,2.417194396821118,4.1053285980233385,6.767338979354058,12.898999962146764,2.471633162091844,5.2855,4.220521892667815,13.719329769240002,0.1759612237221879,6.611464709084386,48.86067708333333
cd_rep05_full,070,200000,1.1065852262107403,6.571509857167257e-06,1.1886658341803051,3.927858218837073,-0.4494964365637239,1.8743760344533889,43.83138020833333,0.8499946462392497,407,2.984829971506846,4.92013381081084,2.3484988864516496,4.019215877299266,2.5215191250554745,3.84201967032146,2.3586586953829056,5.643,2.2452184759560687,5.574845578896395,0.2641257084185577,2.988774700821136,52.083333333333336
cd_rep05_full,045,200000,0.9579075289475784,5.9826860273012224e-06,1.0909770456108014,3.8460555816340496,-0.8422613841310023,1.6990595066787384,33.41471354166667,1.2647274580113494,368,2.682804149854822,4.419828924894297,2.058474526852299,3.507998564635112,2.7959890200653805,4.217895533821684,2.052892249302791,5.8785,2.258055756629334,5.442897104149551,0.0290992984270424,2.9812249019293784,50.69986979166666
cd_rep05_full,044,200000,1.1054705560332103,7.776951931706941e-06,1.2838223584084991,3.5722769903959595,0.0272228458700111,1.866555723757299,52.01822916666666,1.526220231858759,439,3.120930059233653,5.326416289996399,2.3873241537159835,4.089396415298683,3.037338262731085,4.593370641196082,2.413143388740712,6.4235,1.9953323008992785,5.30888170472512,0.2820135312631741,2.7907051665584333,52.425130208333336
cd_rep05_full,039,200000,0.9709920981734276,5.779971373138814e-06,1.02666466202733,3.406263926580687,-0.5238728674457956,1.5743146003410613,39.38802083333333,1.5891412289677125,356,2.6363577744962194,4.315432774323873,2.080612816624762,3.539360894097748,3.043630943730509,4.342569188763397,2.142162739416829,6.046,2.101997681423984,4.95045880001849,0.2138551199139586,2.683258388342032,53.515625
cd_rep05_full,022,200000,1.064332415296053,6.277251237480842e-06,1.2238623615035031,3.773179871134996,-0.3470837067462117,1.8966297694226728,47.05403645833333,2.766132017820783,366,2.9923182937654853,5.166626414637881,2.225643880273002,3.7708588631402473,3.804454391717575,5.042857946260185,2.2090332366062424,5.883,1.898332464495974,5.273498542437957,0.1239087720542084,2.737703305121832,52.05078125
cd_rep05_full,080,200000,1.141683308871465,9.122919306683063e-06,1.5603839074912598,4.705043229964687,-0.1339559617713814,2.439074191540193,51.46484375,0.8937109338417673,444,3.8343179518605055,7.863417511967868,2.46380446392804,4.198487976988643,2.6506253183209973,4.186167973971734,2.423065755994736,5.463500000000001,2.104698698335205,5.518618971621697,-0.2000585683389125,2.9455641823805205,47.0703125
cd_rep05_full_f0,083,200000,1.1214183352180909,6.521611211951495e-06,1.7992286851333752,5.578398783491332,-0.5016237722203579,2.7769483150704577,47.81901041666667,1.5801940154367804,278,4.2678692209565545,9.584835723691532,2.4145504083775724,4.0906373112271925,3.644003779017597,6.881498104250055,2.279456502203789,4.2815,1.9883937953050164,6.810150860785522,0.2495340900100703,3.2772056324786245,53.48307291666666
cd_rep05_full_f0,053,200000,1.124866996809809,7.469728443879713e-06,2.190205910470047,8.734051053785391,-1.980151279268596,3.548382802931412,34.912109375,1.0335834342203374,136,4.016570335666429,7.663836830169113,2.417194396821118,4.1053285980233385,4.831548192526756,8.961051764095709,2.471633162091844,5.2855,3.1643689401157,10.620111767403662,0.2497189828336523,5.288527335476764,50.9765625
