run,CD_t_mm,HD95_mm,F1@0.05,F1@0.03,DCD,clump_%,spacing_CV
baseline,7.2197,7.2441,0.8619,0.4623,0.8555,12.8459,0.3886
dcd_l2,7.0309,7.1551,0.8764,0.4762,0.8473,12.4699,0.3857
lr_fix_only,6.3996,6.2046,0.9275,0.5559,0.6933,5.6047,0.2974
rep_w05,6.4086,6.2049,0.9279,0.5558,0.6758,1.3615,0.2383
cd_only,6.429,6.1136,0.9266,0.5383,0.7604,13.6019,0.3989
cd_rep05_full,6.3547,6.1028,0.9297,0.5604,0.6853,1.2362,0.2536
cd_rep05_r2,6.3587,6.0337,0.9294,0.5572,0.6849,1.4469,0.2514
tie_qk,6.2618,5.8597,0.9363,0.5662,0.6823,2.1419,0.2699
tie_qk_r2,6.4124,6.1037,0.9276,0.5494,0.6949,2.3747,0.2658
notext,6.3171,5.9472,0.933,0.5627,0.6854,1.3932,0.2571
notext_r2,6.3158,5.9557,0.9342,0.5616,0.6873,1.3997,0.2587
pp_attn,6.6482,6.4902,0.9071,0.5217,0.747,1.1776,0.2721
cd_only_f0,6.5234,6.3335,0.9185,0.5281,0.7995,16.9865,0.4345
cd_only_f1,6.2676,5.8572,0.9212,0.5154,0.7683,13.5449,0.3938
cd_only_f2,6.4305,5.9547,0.9286,0.5287,0.8041,19.8796,0.4743
cd_only_f3,6.3071,5.7386,0.9322,0.5382,0.7345,11.696,0.3721
cd_only_f4,6.6847,6.6056,0.9234,0.5418,0.7409,10.6071,0.3682
lr_fix_only_f0,6.4704,6.2111,0.9222,0.5415,0.7211,8.0981,0.3324
lr_fix_only_f1,6.2436,5.8396,0.923,0.5257,0.6923,5.1074,0.2844
lr_fix_only_f2,6.3638,5.9026,0.9315,0.5514,0.6895,4.4482,0.2923
lr_fix_only_f3,6.3108,5.692,0.9323,0.5453,0.6714,4.5614,0.2794
lr_fix_only_f4,6.6664,6.5381,0.9244,0.5509,0.698,6.8522,0.3143
rep_w05_f0,6.3855,6.1342,0.9271,0.5608,0.6699,0.7609,0.2219
rep_w05_f1,6.2276,5.8173,0.9225,0.53,0.6793,2.3551,0.2402
rep_w05_f2,6.3667,5.9038,0.9302,0.5542,0.6645,1.473,0.2298
rep_w05_f3,6.2976,5.749,0.9321,0.5489,0.6621,1.2785,0.2254
rep_w05_f4,6.5575,6.3672,0.9305,0.5635,0.6688,1.5308,0.2321
cd_rep05_full_f0,6.4456,6.1611,0.924,0.5442,0.7171,2.3812,0.2819
cd_rep05_full_f1,6.1762,5.7383,0.9283,0.5345,0.6797,1.8034,0.2477
cd_rep05_full_f2,6.409,5.8285,0.9308,0.5414,0.6953,1.4494,0.2555
cd_rep05_full_f3,6.1307,5.4736,0.9459,0.5641,0.6566,1.9857,0.2531
cd_rep05_full_f4,6.5144,6.3059,0.9322,0.5642,0.6888,1.6789,0.2659
